category,question,answer,source,risk_level
Sales Enablement,Where can I find the latest pricing guidance?,"The latest pricing guidance is available in the internal GTM pricing playbook. Employees should verify final pricing with Sales Operations before sharing externally.",GTM Pricing Playbook,Medium
Sales Enablement,Can I offer a discount to close a deal?,"Discounts up to 10% may be approved by your sales manager. Discounts between 10% and 25% require Sales Operations approval. Anything above 25% requires VP of Sales sign-off.",Discount Approval Matrix,Medium
Sales Enablement,Where do I find approved customer case studies?,"Approved case studies are stored in the GTM content library under Customer Stories. Only assets marked Approved for External Use may be shared with prospects.",GTM Content Library Guide,Low
Sales Enablement,Can I share our product roadmap with a prospect?,"Roadmap details may only be shared under NDA and using the current approved roadmap deck. Never commit to dates. Escalate custom roadmap requests to the product team.",Roadmap Communication Policy,High
HR Policy,What is the remote work policy?,"Employees may work remotely according to their team norms and manager approval. Policy-sensitive exceptions should be escalated to HR.",Employee Handbook,Medium
HR Policy,How much paid time off do I get per year?,"Full-time employees accrue 20 days of paid time off per year, plus company holidays. PTO requests should be submitted in the HR portal at least two weeks in advance when possible.",Employee Handbook,Low
HR Policy,What is the parental leave policy?,"Eligible employees receive 16 weeks of paid parental leave. Leave planning and eligibility questions should be coordinated directly with HR, as individual circumstances vary.",Parental Leave Policy,Medium
HR Policy,How do I report a workplace concern or harassment?,"Report concerns to your manager, HR, or through the anonymous ethics hotline. All reports are handled confidentially. Retaliation is prohibited. This topic always requires human follow-up.",Code of Conduct,High
HR Policy,When are performance reviews held?,"Performance reviews run twice per year, in June and December. Self-assessments are due two weeks before the review cycle opens.",Performance Review Guide,Low
Operations,How do I request vendor approval?,"Submit a vendor intake form, include business justification, budget owner approval, and security review if customer or employee data is involved.",Vendor Management SOP,High
Operations,What is the process for booking business travel?,"Book travel through the approved corporate travel portal. Trips over $2,000 require advance manager approval. International travel requires approval two weeks in advance.",Travel Policy,Low
Operations,How do I reserve a conference room?,"Reserve rooms through the calendar system by adding the room as a resource. For events over 20 people, contact Workplace Operations for setup support.",Workplace Operations Guide,Low
Operations,What is the purchasing approval threshold?,"Purchases under $500 can be expensed directly. Purchases from $500 to $5,000 require budget owner approval. Purchases above $5,000 require Finance review and a purchase order.",Procurement Policy,Medium
Customer Support,Can I promise a custom feature timeline to a customer?,"No. Feature timelines should not be promised without Product and Engineering confirmation. Escalate to the account owner and product lead.",Customer Commitment Policy,High
Customer Support,How do I issue a refund to a customer?,"Refunds up to $500 can be issued by support leads. Larger refunds require manager approval and a documented reason code in the support system.",Refund Policy,Medium
Customer Support,What is the SLA for responding to support tickets?,"Priority 1 tickets require a first response within 1 hour, Priority 2 within 4 business hours, and Priority 3 within 1 business day.",Support SLA Policy,Low
Customer Support,How do I escalate an outage reported by a customer?,"Confirm the impact, open an incident in the incident management tool, page the on-call engineer, and notify the account owner. Do not communicate root cause externally until the incident review is complete.",Incident Response Runbook,High
IT Security,Can I upload customer data into an AI tool?,"Do not upload customer, employee, or confidential company data into unapproved AI tools. Use only approved systems and escalate unclear cases to Security.",AI Usage Policy,High
IT Security,What should I do if I clicked a phishing link?,"Immediately report it to Security through the phishing report button or security@ alias, disconnect from the network if instructed, and change your password. Do not delete the email.",Security Incident Guide,High
IT Security,What are the password requirements?,"Passwords must be at least 14 characters and unique per system. Use the company password manager. Multi-factor authentication is required on all corporate accounts.",Access Management Policy,Low
IT Security,Can I install unapproved software on my work laptop?,"Only software from the approved catalog may be installed. Request exceptions through the IT service desk; Security reviews requests involving data access.",Endpoint Security Policy,Medium
Finance,How do I submit an expense report?,"Submit expenses in the finance portal within 30 days of purchase, attach itemized receipts for anything over $25, and select the correct cost center.",Expense Policy,Low
Finance,What is the corporate card policy?,"Corporate cards are for approved business expenses only. Personal use is prohibited. Monthly reconciliation is required by the 5th business day of the following month.",Corporate Card Policy,Medium
Finance,Who approves budget changes mid-quarter?,"Mid-quarter budget changes require approval from the department head and Finance Business Partner. Changes over $50,000 also require CFO review.",Budget Management Policy,High
Legal & Compliance,Can I sign a contract on behalf of the company?,"Only employees with delegated signature authority may sign contracts. All contracts must go through Legal review before signature. When in doubt, route through the contract intake process.",Signature Authority Policy,High
Legal & Compliance,What is the data retention policy?,"Business records are retained according to the retention schedule, generally 7 years for financial records and 3 years for general correspondence. Do not delete records subject to a legal hold.",Data Retention Schedule,Medium
Legal & Compliance,Do I need an NDA before sharing confidential information?,"Yes. A mutual NDA must be fully executed before sharing confidential information with any external party. Use the standard NDA template from Legal.",NDA Policy,High
Onboarding,How do I get access to internal systems as a new hire?,"System access is provisioned automatically based on your role during your first week. Additional access requests go through the IT service desk with manager approval.",New Hire IT Guide,Low
Onboarding,When do my benefits start?,"Medical, dental, and vision benefits begin on your first day of employment. Enrollment must be completed within 30 days of your start date.",Benefits Enrollment Guide,Low
Onboarding,Who is my onboarding buddy and what do they do?,"Each new hire is assigned an onboarding buddy from their team for the first 90 days. Your buddy helps with day-to-day questions, introductions, and team norms.",Onboarding Program Guide,Low
IT,How do I request a new laptop or hardware?,"Submit a hardware request through the IT service desk. Standard refresh is every 3 years. Non-standard equipment requires manager approval.",Hardware Request Guide,Low
IT,How do I set up VPN access?,"Install the company VPN client from the approved software catalog and authenticate with SSO and MFA. VPN is required when accessing internal systems from outside the office network.",Remote Access Guide,Low
